,place_id,name,5min % high A.C.,15min % high A.C.,25min % high A.C.,Buurt,Wijk,geometry,WKT_LNG_LAT,pressure 5min,pressure 15min,pressure 25min,5min % high A.C. Category,15min % high A.C. Category,25min % high A.C. Category,pressure 5min Category,pressure 15min Category,pressure 25min Category,Combined Category 5min,Combined Category 15min,Combined Category 25min,total_points,within_5min,within_15min,within_25min,percent_within_5min,percent_within_15min,percent_within_25min
0,ChIJ-1hUL74JxkcRnLpTBTbfH5o,Eden Hotel Amsterdam,18.456849599255037,23.195139770927444,26.018650718721016,Rembrandtplein e.o.,Grachtengordel-Zuid,POINT (4.8986899 52.3668376),"POLYGON((4.892818 52.36518,4.895874 52.364754,4.896908 52.364966,4.897537 52.365087,4.901217 52.365779,4.900752 52.366625,4.899284 52.367172,4.898795 52.367263,4.898242 52.36732,4.89725 52.367428,4.897128 52.367428,4.896077 52.367379,4.895268 52.367368,4.895052 52.367331,4.894831 52.367308,4.894323 52.367287,4.894147 52.367289,4.893881 52.36729,4.893807 52.367265,4.893466 52.367042,4.893296 52.366678,4.893155 52.36609,4.893008 52.365641,4.892898 52.365425,4.892818 52.36518))",5009.0617223044455,38201.52600997643,126486.58098996874,Medium,Medium,Medium,Medium,Medium,High,Medium AC + Medium Pressure (Balanced),Medium AC + Medium Pressure (Balanced),Medium AC + High Pressure (Caution),6650,842,2605,5224,12.661654135338345,39.17293233082707,78.55639097744361
1,ChIJ-8C0ZsQJxkcR6f0pc6CA3IM,Hotel De Westertoren,8.903487306200853,23.484635262401376,25.645532510105074,Felix Meritisbuurt,Grachtengordel-West,POINT (4.8861425999999994 52.3734604),"POLYGON((4.882614 52.368932,4.884411 52.368862,4.886623 52.368792,4.887279 52.368762,4.887679 52.368756,4.88784 52.368764,4.887828 52.368803,4.888126 52.370301,4.888509 52.372324,4.888766 52.373038,4.888822 52.373147,4.888855 52.37326,4.886906 52.37342,4.88666 52.373456,4.886468 52.373506,4.886299 52.373571,4.885833 52.373823,4.885708 52.373881,4.885558 52.373934,4.88539 52.373977,4.885158 52.373998,4.883385 52.374065,4.883069 52.373992,4.882614 52.368932))",4822.931316121251,61885.14542564271,118663.33201776023,Low,Medium,Medium,Medium,High,High,Low AC + Medium Pressure (Monitor),Medium AC + High Pressure (Caution),Medium AC + High Pressure (Caution),414,38,228,309,9.178743961352657,55.072463768115945,74.63768115942028
2,ChIJ-8DbTpYJxkcRF6GXegHzFe8,Hotel Hermitage Amsterdam,15.403296794447154,23.963323713266295,26.182951711868025,Weesperbuurt,Weesperbuurt/Plantage,POINT (4.9036111 52.3644444),"POLYGON((4.901217 52.365779,4.901557 52.365162,4.90277 52.362805,4.903351 52.361656,4.903415 52.36153,4.905117 52.361852,4.905049 52.361987,4.91078 52.363092,4.914224 52.363769,4.914387 52.363945,4.913342 52.364287,4.91126 52.365003,4.91055 52.365256,4.908877 52.365816,4.908245 52.365698,4.908099 52.365987,4.907931 52.366112,4.907733 52.366227,4.907553 52.366307,4.90736 52.366375,4.90722 52.366413,4.906323 52.366618,4.906116 52.366765,4.906035 52.366726,4.905631 52.366613,4.901835 52.36589,4.901217 52.365779))",447.224360028504,22319.5384531053,112919.40081127007,Medium,Medium,Medium,Low,Low,High,Medium AC + Low Pressure (Opportunity),Medium AC + Low Pressure (Opportunity),Medium AC + High Pressure (Caution),671,33,203,501,4.918032786885246,30.25335320417288,74.66467958271237
3,ChIJ-RAyRD0KxkcRG4koK51opDE,Hotel Novotel Amsterdam City,24.843086983322806,27.637238993109158,27.644549468299633,De Klenckebuurt,Buitenveldert-Oost,POINT (4.8885168 52.3337156),"POLYGON((4.878652 52.335088,4.879167 52.334426,4.87924 52.334305,4.879357 52.334057,4.879401 52.333931,4.87945 52.333715,4.87946 52.333613,4.879456 52.333125,4.889981 52.33314,4.889987 52.33469,4.884501 52.334701,4.884228 52.33472,4.880406 52.335158,4.880164 52.335178,4.879839 52.335189,4.879514 52.33518,4.879271 52.33516,4.878652 52.335088))",17.727786000109628,10340.720331085895,16183.229403058705,High,High,High,Low,Low,Low,High AC + Low Pressure (Potential),High AC + Low Pressure (Potential),High AC + Low Pressure (Potential),7418,2,780,1054,0.026961445133459154,10.51496360204907,14.208681585332975
4,ChIJ-RS-x8cJxkcRix6HMEVbC0c,Avenue Hotel,8.965565781954062,22.67488850579729,25.467649557488375,Nieuwendijk-Noord,Burgwallen-Nieuwe Zijde,POINT (4.8946467 52.37665),"POLYGON((4.893582 52.376221,4.8951 52.376206,4.895342 52.376181,4.895472 52.376156,4.895622 52.376115,4.895702 52.376036,4.896266 52.375819,4.896473 52.375764,4.89708 52.375505,4.899141 52.376971,4.899692 52.377303,4.898867 52.377741,4.898667 52.378012,4.898562 52.378122,4.898442 52.378227,4.898062 52.378505,4.897931 52.378579,4.897713 52.378678,4.896895 52.378001,4.895954 52.377792,4.89585 52.377757,4.895748 52.377712,4.895663 52.377661,4.895584 52.3776,4.895104 52.377147,4.894966 52.37704,4.894775 52.376916,4.894422 52.376738,4.8942 52.376609,4.893582 52.376221))",12037.833634818833,66708.81198267828,106913.36896343803,Low,Low,Low,High,High,Medium,Low AC + High Pressure (Critical),Low AC + High Pressure (Critical),Low AC + Medium Pressure (Monitor),2441,351,1429,1727,14.379352724293323,58.54158131913151,70.74969274887341
5,ChIJ-U0QpE3ixUcRGDV6HPFMOzY,XO Hotels Blue Square,15.150724857746567,23.824654581756818,25.71375228970469,Dichtersbuurt,Slotermeer-Zuidoost,POINT (4.8211110999999995 52.3786111),"POLYGON((4.819042 52.37571,4.823219 52.375055,4.824319 52.37767,4.823996 52.377723,4.824232 52.378303,4.82402 52.378338,4.823864 52.378379,4.823723 52.378437,4.821982 52.379344,4.820648 52.379554,4.820138 52.378333,4.819042 52.37571))",77.13934111714082,336.71029984103484,882.4947651153861,Medium,Medium,Medium,Low,Low,Low,Medium AC + Low Pressure (Opportunity),Medium AC + Low Pressure (Opportunity),Medium AC + Low Pressure (Opportunity),4892,54,208,241,1.1038430089942763,4.251839738348324,4.926410466067048
6,ChIJ-_VFLbgJxkcR6Io_ONVcqX0,Hotel Prins Hendrik,15.534622296919126,25.133630030200145,24.573708302760288,Kop Zeedijk,Burgwallen-Oude Zijde,POINT (4.8995948 52.376527499999995),"POLYGON((4.89708 52.375505,4.897889 52.37516,4.898001 52.375238,4.899233 52.374789,4.899406 52.374749,4.899667 52.374678,4.900201 52.37449,4.900275 52.374486,4.90048 52.374418,4.900587 52.374402,4.901266 52.374174,4.902273 52.376142,4.903254 52.37659,4.902978 52.37669,4.902452 52.377141,4.90196 52.377244,4.900968 52.377242,4.899692 52.377303,4.899141 52.376971,4.89708 52.375505))",7551.275722194814,55669.70268048018,99328.3565751247,Medium,Medium,Low,High,High,Medium,Medium AC + High Pressure (Caution),Medium AC + High Pressure (Caution),Low AC + Medium Pressure (Monitor),1969,289,964,1327,14.677501269680041,48.9588623666836,67.39461655662772
7,ChIJ09FkufEJxkcRrX1pOBxxImQ,Hotel Washington,17.7952028553772,22.936161716533213,27.859713767787785,Johannes Vermeerbuurt,Museumkwartier,POINT (4.883563 52.3549102),"POLYGON((4.879992 52.356138,4.880392 52.355517,4.88172 52.353691,4.882819 52.353894,4.884277 52.354189,4.88438 52.354255,4.886282 52.354593,4.886476 52.354615,4.886759 52.354622,4.886698 52.355295,4.886582 52.356853,4.886603 52.357267,4.886724 52.358732,4.884799 52.358982,4.88438 52.357843,4.883893 52.357929,4.883511 52.358024,4.882649 52.356925,4.881374 52.356096,4.880609 52.356231,4.880507 52.356241,4.880422 52.356239,4.880338 52.356227,4.879992 52.356138))",733.7070657238393,39297.01726689689,79278.80480184179,Medium,Low,High,Low,Medium,Medium,Medium AC + Low Pressure (Opportunity),Low AC + Medium Pressure (Monitor),High AC + Medium Pressure (Manageable),1119,59,394,571,5.272564789991064,35.210008936550494,51.027703306523684
8,ChIJ0Q1NT0UJxkcRwQjPMVe3oEo,Trianon Hotel,21.69503726662437,25.374229553748528,28.90365383337516,Concertgebouwbuurt,Museumkwartier,POINT (4.8783566 52.356315599999995),"POLYGON((4.873875 52.358139,4.876249 52.354804,4.878224 52.355332,4.878337 52.355376,4.878443 52.355433,4.879022 52.355816,4.879177 52.355902,4.879341 52.355965,4.879992 52.356138,4.879825 52.356412,4.878568 52.358153,4.877154 52.360101,4.87696 52.360065,4.876673 52.359932,4.87646 52.35985,4.875796 52.359659,4.875975 52.359402,4.875252 52.359213,4.875242 52.359227,4.87508 52.359183,4.875284 52.358901,4.875333 52.358878,4.87532 52.358875,4.875384 52.35878,4.875001 52.358679,4.87515 52.358473,4.873875 52.358139))",7034.692704050869,35109.78112152606,75140.79482541248,High,High,High,High,Medium,Medium,High AC + High Pressure (Stress),High AC + Medium Pressure (Manageable),High AC + Medium Pressure (Manageable),1785,87,503,817,4.873949579831933,28.179271708683473,45.7703081232493
9,ChIJ0RZ1vX8JxkcRZ9jQ-jthG6c,MEININGER Hotel Amsterdam Amstel,20.499422217436006,20.818511858825122,26.35138298824382,Julianapark,Frankendael,POINT (4.9192528 52.3457763),"POLYGON((4.916606 52.347884,4.917414 52.346506,4.918483 52.344676,4.918886 52.343781,4.919231 52.343627,4.919295 52.34361,4.919375 52.343603,4.919443 52.34361,4.919504 52.343626,4.919579 52.343664,4.919403 52.343981,4.919156 52.3447,4.91914 52.344864,4.919168 52.345027,4.919228 52.345166,4.919271 52.345237,4.919545 52.345594,4.920118 52.345733,4.920446 52.345796,4.92077 52.345838,4.921316 52.345885,4.925292 52.345929,4.925571 52.345938,4.925807 52.345943,4.925987 52.345967,4.926251 52.346018,4.926506 52.346087,4.92682 52.346206,4.927495 52.346575,4.925161 52.348157,4.924804 52.348347,4.924485 52.348472,4.924186 52.348565,4.92374 52.348668,4.923291 52.348712,4.922988 52.34872,4.922685 52.348712,4.922385 52.348688,4.916606 52.347884))",613.0143068574243,1941.698569314257,21394.08359370717,High,Low,Medium,Low,Low,Low,High AC + Low Pressure (Potential),Low AC + Low Pressure (Limited Interest),Medium AC + Low Pressure (Opportunity),4885,21,153,341,0.42988741044012285,3.1320368474923233,6.980552712384852
