,place_id,reviews 2024,rev_prc,name,reviews,price_range,main_category,categories,query,latitude,longitude,category
0,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,18243,1.0,Rijksmuseum,98669,,Kunstmuseum,"[""Kunstmuseum"",""Historisch museum"",""Museum"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3599976,4.8852188,Cultural & Historic
1,ChIJX1rTlu8JxkcRGsV8-a4oKMI,15335,0.8405963931370937,Van Gogh Museum,91890,,Kunstmuseum,"[""Kunstmuseum"",""Museum"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3580757,4.8812053,Cultural & Historic
2,ChIJSRE-IcUJxkcRCltjPmVdmtQ,9534,0.5226114125966124,Anne Frank Huis,68668,,Museum,"[""Museum"",""Non-profitorganisatie"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3752182,4.8839765,Cultural & Historic
3,ChIJz3y0xeIJxkcRNcogBVV41Gw,6930,0.3798717316230883,Vondelpark,53744,,Park,"[""Park"",""Toeristische attractie""]",parks in negen straatjes,52.3579946,4.8686484,Green Recreation
4,ChIJFQ6IwMYJxkcRis8dtZlOkTk,5200,0.2850408375815381,Koninklijk Paleis Amsterdam,23856,,Kasteel,"[""Kasteel"",""Museum"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3731835,4.8913758,Cultural & Historic
5,ChIJm7tV_qQJxkcRvM4CYqK9SMc,5070,0.2779148166419997,NEMO Science Museum,32923,,Wetenschapsmuseum,"[""Wetenschapsmuseum"",""Kindermuseum"",""Museum"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3741709,4.912325,Cultural & Historic
6,ChIJk4NxS5YLxkcRw_zHD8XUGXQ,4996,0.2738584662610316,Johan Cruijff ArenA,38276,,Stadion,"[""Stadion""]",sports complex in bijlmer arena,52.3143557,4.9418487,Event venue
7,ChIJJVNbSZcLxkcRmlFDljhOFgE,4724,0.2589486378336896,Ziggo Dome,30079,,Evenementenlocatie,"[""Evenementenlocatie"",""Concertzaal""]",tourist attractions in bijlmer arena,52.3135914,4.9371203,Event venue
8,ChIJYQCs26EJxkcRPUqKm3hTaA4,4618,0.2531381899906814,ARTIS,33056,,Dierentuin,"[""Dierentuin"",""Aquarium"",""Museum"",""Park"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3660003,4.9165321,Cultural & Historic
9,ChIJRTx_o-8JxkcRKLAaBcWCq5w,3916,0.2146576769171737,Moco Museum Amsterdam,22235,,Museum,"[""Museum"",""Kunstmuseum"",""Cultureel centrum"",""Museum voor moderne kunst"",""Toeristische attractie""]",tourist attractions in negen straatjes,52.3587389,4.881907399999999,Cultural & Historic
