type;neighbourhood;sentence;source;hour;day;impact_type
impact;;"... commercial interests that harm the
urban environment and quality of life for residents.";Het is Genoeg, 2023;;;economy
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;17;;
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;18;;
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;19;;
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;20;;
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;21;;
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;22;;
moment;;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;23;;
place;Burgwallen-Oude Zijde;The Red Light District in particular has been exposed to heavy tourism pressure, especially in the evening.;Het is Genoeg, 2023;;;
place;Grachtengordel-West;This also is the case in the 9 Straatjes, Nieuwmarkt and hospitality focused areas like Rembrandtplein and Leidseplein.;Het is Genoeg, 2023;;;
place;Nieuwmarkt/Lastage;This also is the case in the 9 Straatjes, Nieuwmarkt and hospitality focused areas like Rembrandtplein and Leidseplein.;Het is Genoeg, 2024;;;
place;Grachtengordel-Zuid;This also is the case in the 9 Straatjes, Nieuwmarkt and hospitality focused areas like Rembrandtplein and Leidseplein.;Het is Genoeg, 2025;;;
place;De Weteringschans;This also is the case in the 9 Straatjes, Nieuwmarkt and hospitality focused areas like Rembrandtplein and Leidseplein.;Het is Genoeg, 2026;;;
impact;;It states clearly that the liveability is under big pressure by the large amount of visitors at certain times in certain areas.;Amsterdam Municipality, 2022;;;nuisance
place;Centrum;The most vulnerable areas are located in the Centre city district, but also in the East, West and South district crowdedness and nuisance are increasing.;Amsterdam Municipality, 2022;;;
place;Oost;The most vulnerable areas are located in the Centre city district, but also in the East, West and South district crowdedness and nuisance are increasing.;Amsterdam Municipality, 2022;;;
place;West;The most vulnerable areas are located in the Centre city district, but also in the East, West and South district crowdedness and nuisance are increasing.;Amsterdam Municipality, 2022;;;
place;Zuid;The most vulnerable areas are located in the Centre city district, but also in the East, West and South district crowdedness and nuisance are increasing.;Amsterdam Municipality, 2022;;;
